地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 丹麦'],['迈克尔·诺尔'],['104'],['09'],"['加斯帕·克里斯滕森', '马格努斯·克雷佩', '格茜塔·诺比']",['霜冻将至 Før frosten'],['剧情'],['8.0'],['61'],[' 丹麦语 / 瑞典语']
[' 丹麦'],['比利·奥古斯特'],['162'],['08'],"['埃斯本·司米德·詹森', '卡塔林·格雷-罗森塔尔', '本杰明·基特', '朱莉·克里斯汀森', '汤米·肯特', '拉斯马斯·伯格', '奥勒·雷米克']",['幸运儿彼尔 Lykke-Per'],['剧情'],['7.6'],['737'],[' 丹麦语']
[' 丹麦'],['古斯塔夫·莫勒'],['85'],"['01', '06']","['雅各布·克德格恩', '杰西卡·迪内奇', '奥玛尔·沙加威', '约翰·奥尔森', '雅各布·乌尔里克·罗曼', '西蒙·本尼杰格', '劳拉·布罗', '蒙坦·瑟贝尔', '莫滕·桑博', '安德斯·布林克·马德森', '马特·福勒']",['罪人 Den skyldige'],"['剧情', '惊悚', '犯罪']",['7.6'],['18298'],[' 丹麦语']
[' 丹麦 / 法国 / 德国 / 瑞典'],['拉斯·冯·提尔'],['152'],"['05', '10', '11']","['马特·狄龙', '布鲁诺·甘茨', '乌玛·瑟曼', '希芳·法隆', '苏菲·格拉宝', '丽莉·克亚芙', '杰瑞米·戴维斯', '爱德华·斯皮伊尔斯', '大卫·拜利', '刘智泰']",['此房是我造 The House That Jack Built'],"['喜剧', '惊悚', '犯罪']",['7.3'],['37873'],[' 英语 / 德语 / 意大利语']
[' 丹麦 / 德国'],['克里斯托弗·鲍伊'],['119'],['10'],"['尼古拉·雷·卡斯', '法瑞斯·法瑞斯', '约翰妮·路易斯·施密特', '索伦·比尔马克', '范妮·博内代尔', '克拉拉·罗萨杰', '路易斯·斯科夫', '阿曼达·拉德里亚克', '安德斯·霍夫', '尼可拉斯·布若', '埃利奥特·克罗赛特·霍夫', '碧尔特·诺伊曼', '迈克尔·布罗斯楚普', '玛丽安·霍格斯布罗', '薇比珂·哈斯特伦', '特赖恩·帕里森', '纳斯塔加·阿尔赛', '亨里克·韦斯特加德·尼尔森', '拉多·哈季奇', '安德斯·布林克·马德森', '旺达·佩德尔维茨']",['64号病历 Journal 64'],"['悬疑', '惊悚', '犯罪']",['7.2'],['5470'],[' 丹麦语 / 西班牙语 / 阿拉伯语']
[' 丹麦'],['拉斯穆斯·克洛斯特·布罗'],['84'],['07'],"['Christine Sønderris', 'Kresimir Mikic', 'Samson Semere', 'Adrian Heili', '萨尔瓦多·斯特里亚诺', 'Lilli Fernanda Kondrup', 'Rasmus Hammerich', 'Anders Nylander Thomsen']",['隧道惊魂 Cutterhead'],['惊悚'],['7.0'],['83'],[' 英语']
[' 瑞典 / 丹麦'],['帕尼勒·费舍尔·克里斯藤森'],['123'],['09'],"['阿尔巴·奥古斯特', '崔娜·蒂虹', 'Björn Gustafsson', '玛利亚·邦妮薇', '马格努斯·克雷佩', '亨瑞克·拉斐尔森', 'Maria Alm Norell']",['关于阿斯特丽德 Unga Astrid'],['剧情'],['7.0'],['71'],[' 瑞典语']
[' 瑞典 / 丹麦'],['阿里·阿巴西'],['110'],"['05', '08']","['埃娃·梅兰德', '埃罗·米洛诺夫', '约根·托尔松', '安·彼得伦', '斯坦·伦格伦', '马蒂·博斯泰特', '维克托·奥克布卢姆-尼尔松', '纳塔莉 明妮威克']",['边境 Gräns'],"['剧情', '惊悚', '奇幻']",['6.8'],['4846'],[' 瑞典语']
[' 哥伦比亚 / 丹麦 / 墨西哥 / 德国 / 瑞士'],"['克丽丝蒂娜·加耶果', '西罗·格拉']",['125'],"['05', '08']","['卡米娜·马蒂内', '何塞·阿科斯塔', '娜塔利娅·雷耶斯', '约恩·纳瓦埃斯', '格雷德·梅扎', '何塞·维森特', '胡安·包蒂斯塔·马丁内斯', '米格尔·维埃拉', '塞尔希奥·科恩', '阿斯列尼斯·马尔克斯', '何塞·奈德', '扬克·迪亚兹', '维克多·蒙特罗', '华金·拉蒙', '豪尔赫·拉斯卡罗']",['候鸟 Pájaros de verano'],"['剧情', '惊悚']",['6.7'],['1174'],[' 西班牙语 / 英语 / 瓦尤语']
[' 丹麦 / 加拿大 / 美国'],['皮尔·弗莱'],['108'],['01'],"['提奥·詹姆斯', '本·金斯利', '杰奎琳·比塞特', '罗西弗·萨瑟兰', '蕾切尔·威尔森', '布莱恩·马克金森', '贝尔奇姆·比尔金', '肖娜·麦克唐纳德', '艾丹·迪瓦恩', '扎希尔·吉拉尼']",['与人为恶 Backstabbing for Beginners'],['惊悚'],['6.5'],['598'],[' 英语']
