地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 印度'],['Reema Kagti'],[],['08'],['阿克谢·库玛尔'],['金牌 Gold'],"['剧情', '传记', '运动']",['7.6'],['144'],[' 印地']
[' 俄罗斯'],['丹尼拉·科兹洛夫斯基'],['137'],"['06', '04']","['丹尼拉·科兹洛夫斯基', '伊琳娜·戈尔巴乔娃', '安德烈·斯莫利亚科夫', '奥莉亚·祖耶娃', '弗拉基米尔·伊利因', '维伦·巴比切夫', '维克多·维尔比斯基', '维塔利亚·安德烈夫']",['最后一球 Тренер'],"['剧情', '运动']",['7.5'],['5874'],[' 俄语']
[' 西班牙'],['哈维尔·费舍尔'],['124'],['04'],"['哈维尔·古铁雷斯', '雅典娜·玛塔', '胡安·马加略', '路易莎·加瓦萨', '路易斯·贝尔梅霍', '丹尼尔弗莱雷', '胡利奥·费尔南德斯', '维森特·希尔', '伊西娅尔·卡斯特罗', '查尼·马丁', '哈维尔·费舍尔']",['篮球冠军 Campeones'],"['剧情', '喜剧', '运动']",['7.3'],['2315'],[' 西班牙语']
[' 瑞士'],['马塞尔·吉斯莱'],['124'],['02'],"['麦克斯·胡巴赫', '艾伦·阿尔塔拉斯', '杰西·莫拉维克', '朱格·普拉斯', '多诺·穆格勒', '安德烈亚斯·马蒂', '希尔温·阿米尼', '法比齐奥·波萨尼', '朱利安·科奇林', '加布里埃尔·诺阿·马瑞尔', '施塔隆·安德森', '乔利斯·格拉沃尔']",['我的冠军男友 Mario'],"['剧情', '爱情', '同性', '运动']",['7.3'],['6654'],[' 瑞士德语 / 德语']
[' 美国'],['小斯蒂芬·卡普尔'],['130'],['11'],"['迈克尔·B·乔丹', '西尔维斯特·史泰龙', '泰莎·汤普森', '杜夫·龙格尔', '弗罗里安·穆特鲁', '布里吉特·尼尔森', '罗素·霍恩斯比', '伍德·哈里斯', '米洛·文堤米利亚', '菲利西亚·拉斯海德', '迈克尔·巴佛', '安德烈·沃德', '迈尔斯·哈姆帕斯', '伊沃·南迪', '克里斯托弗·曼恩']",['奎迪：英雄再起 Creed II'],"['剧情', '运动']",['7.1'],['16776'],[' 英语']
[' 马来西亚'],['马逸腾'],['110'],"['09', '03']","['李国煌', '杨雁雁', '拿督·罗斯彦·诺', '黄炜杰', '曾冠源', '李宗伟', '阿什利·华']",['李宗伟：败者为王 Lee Chong Wei'],"['剧情', '传记', '运动']",['6.9'],['6074'],[' 闽南语 / 汉语普通话 / 马来语']
[' 俄罗斯'],['奥列格·特罗费姆'],['113'],"['03', '02']","['阿格拉娅·塔拉索娃', '亚历山大·佩特罗夫', '米洛斯·比柯维奇', '玛丽亚·阿龙诺娃', '瑟妮娅·拉芙洛娃-格林卡', '彦·萨普尼克', '克谢尼娅·拉波波尔特', '维伦·巴比切夫', '帕维尔·迈科夫', '伊琳娜·斯达申鲍姆']",['花滑女王 Лёд'],"['剧情', '爱情', '运动']",['6.8'],['14178'],[' 俄语']
[' 英国'],['奥利弗·帕克'],['96'],"['07', '07']","['罗伯·布莱顿', '鲁珀特·格雷夫斯', '托马斯·图尔格斯', '阿迪勒·阿赫塔尔', '吉姆·卡特', '丹尼尔·梅斯', '罗南·达利', '克里斯·杰普森', '斯派克·怀特', '内森奈尔·帕克', '简·霍洛克斯', '夏洛特·莱利', '阿希林·蒂塔', '安德鲁·诺', '克里斯蒂安·鲁贝克', '奥兰多·希尔', '马克·福斯特', '马诺伊·阿南德', '克莱尔·阿什顿', '保罗·布莱克维尔', '汉娜·布拉米雷斯', '克里斯·考林', '丹尼尔·厄根', '迈克尔·海登', '泰·赫尔利', '凯文·马塔迪恩', '马汀·麦格', '丽塔-麦克唐纳丹帕', '卡罗尔·斯蒂尔', '乔·惠特利', '布塔法·维塔']",['大叔花样游泳队 Swimming with Men'],"['剧情', '喜剧', '运动']",['6.8'],['1226'],[' 英语']
[' 美国'],['肖恩·麦克纳马拉'],['101'],['04'],"['海伦·亨特', '提拉·斯考比', '艾琳·莫里亚蒂', '达妮卡·亚罗什', '贾森·加里-斯坦福德', '威廉·赫特', '博尔克利·杜菲尔德', '丽贝卡·斯塔巴', '内斯塔·库珀', '贝利·斯科德里', '娜塔利·夏普', '阿瓦·格雷斯·库珀', '拉丽莎·阿尔布开克', '莉莲·道塞特-罗奇', '肖恩·麦克纳马拉', '吉丽安·法尔给', '史蒂文·里奇蒙德']",['奇迹赛季 The Miracle Season'],"['剧情', '运动']",['6.6'],['513'],[' 英语']
[' 美国'],['Ryan Koo'],['96'],['04'],"['Michael Rainey Jr.', '莎朗·莉尔', 'Ashlee Brian', 'Corey Parker Robinson', 'Brian White', '乔西·查尔斯']",['业余选手 Amateur'],"['剧情', '运动']",['6.6'],['284'],[' 英语']
